,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0
636,Taufeeq Umar (PAK),2001-2011,22,22,1,504,81*,24.00,895,56.31,0,3,0
637,PR Reiffel (AUS),1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5
638,AR Nurse (WI),2016-2019,54,40,14,502,44,19.30,513,97.85,0,0,2
639,JE Emburey (ENG),1980-1993,61,45,10,501,34,14.31,664,75.45,0,0,3
640,Ghulam Shabber (UAE),2017-2019,23,23,0,500,90,21.73,800,62.50,0,4,2
641,GP Swann (ENG),2000-2013,79,48,12,500,34,13.88,553,90.41,0,0,3
642,JH Davey (SCOT),2010-2019,31,28,6,497,64,22.59,742,66.98,0,2,2
643,MG Erasmus (NAM),2019-2022,13,13,1,497,121*,41.41,629,79.01,1,3,1
644,JJ Tucker (BMUDA),2006-2009,26,26,1,496,52,19.84,726,68.31,0,1,1
645,DJ Callaghan (SA),1992-2000,29,25,6,493,169*,25.94,726,67.90,1,0,2
646,KH Prajapati (OMA),2021-2022,18,17,0,492,81,28.94,678,72.56,0,4,1
647,Naimur Rahman (BAN),1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3
648,JWM Dalrymple (ENG),2006-2007,27,26,1,487,67,19.48,672,72.47,0,2,2
649,AC Cummins (CAN/WI),1991-2007,76,49,13,486,44*,13.50,586,82.93,0,0,4
650,R McLaren (SA),2009-2014,54,41,15,485,71*,18.65,680,71.32,0,1,3
651,MRJ Veletta (AUS),1987-1989,20,19,4,484,68*,32.26,642,75.38,0,2,2
652,CS Baugh (WI),2003-2012,47,35,11,482,49,20.08,719,67.03,0,0,2
653,AA Mulla (CAN),2006-2009,24,24,0,482,58,20.08,595,81.00,0,1,2
654,SR Patel (ENG),2008-2013,36,22,7,482,70*,32.13,517,93.23,0,1,1
655,CD Wallace (SCOT),2012-2019,28,24,1,482,58,20.95,527,91.46,0,4,1
656,DJ Reekers (NED),2006-2009,19,19,0,481,104,25.31,411,117.03,1,0,3
657,TN de Grooth (NED),2006-2013,34,32,4,480,97,17.14,774,62.01,0,1,1
658,G Malla (NEPAL),2018-2022,19,19,1,480,56,26.66,743,64.60,0,4,1
659,JM Vince (ENG),2015-2021,19,16,0,480,102,30.00,511,93.93,1,2,1
660,DA Minors (BMUDA),2006-2007,20,20,2,478,68,26.55,791,60.42,0,3,1
661,BG Rogers (ZIM),2002-2005,15,15,0,478,84,31.86,689,69.37,0,5,2
662,S Lee (AUS),1995-2001,45,35,8,477,47,17.66,500,95.40,0,0,3
663,Sandeep Goud (OMA),2019-2022,31,24,6,476,67*,26.44,624,76.28,0,3,2
664,Karim Sadiq (AFG),2009-2016,24,22,2,475,114*,23.75,587,80.91,2,0,3
665,CP Rizwan (UAE),2019-2022,22,20,3,475,109,27.94,873,54.41,1,1,2
666,SW Ambris (WI),2017-2021,16,15,2,473,148,36.38,494,95.74,1,2,0
667,CA Best (WI),1986-1992,24,23,4,473,100,24.89,690,68.55,1,2,2
668,KIC Asalanka (SL),2021-2022,11,11,0,472,77,42.90,525,89.90,0,5,1
669,AJ Bichel (AUS),1997-2004,67,36,13,471,64,20.47,600,78.50,0,1,5
670,H Patel (CAN),2009-2013,23,23,1,468,62,21.27,584,80.13,0,2,3
671,CH Morris (SA),2013-2019,42,27,4,467,62,20.30,465,100.43,0,1,0
672,ALF de Mel (SL),1982-1987,57,41,9,466,36,14.56,595,78.31,0,0,6
673,CG Williams (NAM),2019-2022,15,15,2,461,129*,35.46,580,79.48,1,1,1
674,AO Malhotra (INDIA),1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0
675,Umar Gul (PAK),2003-2016,130,65,18,457,39,9.72,642,71.18,0,0,10
676,C Sharma (INDIA),1983-1994,65,35,16,456,101*,24.00,504,90.47,1,0,3
677,GEF Barnett (CAN),2006-2010,22,22,0,455,77,20.68,745,61.07,0,1,1
678,R Gunasekera (CAN),2008-2014,19,19,0,455,72,23.94,677,67.20,0,6,3
679,MD Dai (PNG),2014-2018,18,18,2,454,76*,28.37,585,77.60,0,3,1
680,Minhajul Abedin (BAN),1986-1999,27,26,2,453,68*,18.87,909,49.83,0,2,3
681,Mehrab Hossain (BAN),1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2
682,JL Denly (ENG),2009-2020,16,13,0,446,87,34.30,629,70.90,0,4,0
683,TE Blain (NZ),1986-1994,38,38,11,442,49*,16.37,662,66.76,0,0,6
684,SAR Silva (SL),1984-1985,20,20,0,441,85,22.05,838,52.62,0,3,1
685,GR Viswanath (INDIA),1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1
686,Aaron Jones (USA),2019-2021,14,14,1,438,95,33.69,679,64.50,0,3,1
687,JP Maher (AUS),1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1
688,AH Omarshah (ZIM),1983-1996,28,28,2,437,60*,16.80,860,50.81,0,1,4
689,PL Taylor (AUS),1987-1992,83,47,25,437,54*,19.86,583,74.95,0,1,4
690,Usman Ghani (AFG),2014-2022,17,17,0,435,118,25.58,578,75.25,1,2,3
691,DN Chudasama (KENYA),1996-1999,20,19,0,434,122,22.84,685,63.35,1,1,2
692,Shadab Khan (PAK),2017-2021,48,27,9,434,54,24.11,608,71.38,0,3,3
693,CJ McDermott (AUS),1985-1996,138,78,17,432,37,7.08,492,87.80,0,0,15
694,JJ Smit (NAM),2019-2022,15,15,2,432,94,33.23,498,86.74,0,2,0
695,CJO Smith (SCOT),2006-2009,27,26,4,432,59,19.63,640,67.50,0,2,3
696,Shafiqullah (AFG),2009-2018,24,21,2,430,56,22.63,408,105.39,0,2,4
697,Rahmanullah Gurbaz (AFG),2021-2022,9,9,1,428,127,53.50,466,91.84,3,0,0
698,MA Starc (AUS),2010-2021,99,56,21,428,52*,12.22,490,87.34,0,1,9
699,DR Pringle (ENG),1982-1993,44,30,12,425,49*,23.61,616,68.99,0,0,1
700,MN van Wyk (SA),2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2
701,AK Sharma (INDIA),1988-1993,31,27,6,424,59*,20.19,469,90.40,0,3,2
702,RC Russell (ENG),1987-1998,40,31,7,423,50,17.62,638,66.30,0,1,0
703,AS Hansra (CAN),2010-2014,24,22,4,421,70*,23.38,725,58.06,0,2,2
704,Mohammad Nadeem (OMA),2019-2022,23,19,8,421,69*,38.27,704,59.80,0,3,1
705,S Prasanna (SL),2011-2019,40,37,3,421,95,12.38,445,94.60,0,2,7
706,SMA Priyanjan (SL),2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0
707,AR Adams (NZ),2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1
708,SR Waters (KENYA),2008-2011,20,20,0,419,74,20.95,751,55.79,0,2,2
709,CO Browne (WI),1995-2005,46,32,8,415,46*,17.29,590,70.33,0,0,3
710,Basil Hameed (UAE),2019-2022,18,16,1,414,63*,27.60,539,76.80,0,3,1
711,Farhad Reza (BAN),2006-2011,34,31,6,412,50,16.48,636,64.77,0,1,2
712,GB Brent (ZIM),1996-2008,70,54,20,408,59*,12.00,698,58.45,0,1,3
713,CB Lambert (USA/WI),1990-2004,12,12,0,407,119,33.91,540,75.37,1,2,1
714,RW Price (ZIM),2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10
715,IR Bishop (WI),1988-1997,84,44,19,405,33*,16.20,776,52.19,0,0,3
716,EA Brandes (ZIM),1987-1999,59,41,10,404,55,13.03,448,90.17,0,2,3
717,ID Blackwell (ENG),2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6
718,F Mutizwa (ZIM),2009-2011,17,15,2,403,79,31.00,502,80.27,0,4,2
719,SR Taylor (USA),2019-2021,18,18,0,402,92,22.33,469,85.71,0,3,4
720,JP Bray (IRE),2006-2007,15,15,1,401,116,28.64,594,67.50,2,0,2
721,RG de Alwis (SL),1983-1988,31,27,8,401,59*,21.10,512,78.32,0,2,2
722,S Madan Lal (INDIA),1974-1987,67,35,14,401,53*,19.09,645,62.17,0,1,1
723,LJ Tucker (IRE),2019-2022,26,21,1,401,83,20.05,568,70.59,0,2,2
724,TBM de Leede (NED),1996-2007,29,25,1,400,58*,16.66,628,63.69,0,2,4
725,WS Jayantha (SL),2004-2004,17,17,2,400,74*,26.66,530,75.47,0,2,2
726,Mushtaq Ahmed (PAK),1989-2003,144,76,34,399,34*,9.50,698,57.16,0,0,10
727,Sohail Tanvir (PAK),2007-2014,62,40,11,399,59,13.75,458,87.11,0,1,3
728,DR Chumney (CAN),2003-2007,21,21,2,397,48,20.89,595,66.72,0,0,0
729,Mohammad Naveed (UAE),2014-2019,39,34,10,397,45,16.54,323,122.91,0,0,2
730,IA Karim (KENYA),2011-2014,9,9,0,396,112,44.00,522,75.86,2,1,0
731,AB Barath (WI),2010-2012,14,14,1,394,113,30.30,612,64.37,1,1,2
732,Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,84,40,394,43,8.95,538,73.23,0,0,11
733,T Thushara (SL),2008-2010,38,27,6,392,54*,18.66,424,92.45,0,1,4
734,PJ Ongondo (Afr/KENYA),1999-2011,79,62,19,391,36,9.09,621,62.96,0,0,9
735,C Campher (IRE),2020-2022,13,11,1,388,68,38.80,536,72.38,0,4,0
736,Mirwais Ashraf (AFG),2009-2016,46,38,11,387,52*,14.33,543,71.27,0,1,3
737,AF Giles (ENG),1997-2005,62,35,13,385,41,17.50,551,69.87,0,0,2
738,Hannan Sarkar (BAN),2002-2004,20,20,0,383,61,19.15,713,53.71,0,3,2
739,Sadiq Mohammad (PAK),1973-1980,19,19,1,383,74,21.27,755,50.72,0,2,0
740,Asif Ali (PAK),2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0
741,MH Dekker (ZIM),1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0
742,SA Edwards (NED),2018-2022,16,14,1,379,86,29.15,501,75.64,0,4,1
743,DM Wellham (AUS),1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0
744,U Bhatti (CAN),2006-2010,36,30,8,378,46,17.18,513,73.68,0,0,2
745,GF Lawson (AUS),1980-1989,79,52,18,378,33*,11.11,500,75.60,0,0,9
746,DJ Willey (ENG),2015-2021,52,29,13,377,51,23.56,427,88.29,0,2,1
747,MR Ramprakash (ENG),1991-2001,18,18,4,376,51,26.85,544,69.11,0,1,0
748,Al Sahariar (BAN),1999-2003,29,29,1,374,62*,13.35,709,52.75,0,2,6
749,CC Lewis (ENG),1990-1998,53,40,14,374,33,14.38,459,81.48,0,0,6
750,SMH Kirmani (INDIA),1976-1986,49,31,13,373,48*,20.72,616,60.55,0,0,2
751,DS de Silva (SL),1975-1985,41,29,10,371,37*,19.52,691,53.69,0,0,0
752,K Verreynne (SA),2020-2022,12,10,1,371,95,41.22,439,84.51,0,4,0
753,S Chattergoon (WI),2006-2009,18,17,2,370,54*,24.66,615,60.16,0,2,2
754,PJ Forrest (AUS),2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2
755,DW Steyn (Afr/SA),2005-2019,125,51,12,365,60,9.35,562,64.94,0,1,8
756,WM Darling (AUS),1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0
757,Mohammad Amir (PAK),2009-2019,61,30,10,363,73*,18.15,444,81.75,0,2,5
758,SP Narine (WI),2011-2016,65,45,12,363,36,11.00,441,82.31,0,0,8
759,SS Karim (INDIA),1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2
760,Mohammad Saifuddin (BAN),2017-2021,29,19,9,362,51*,36.20,422,85.78,0,2,1
761,R Rampaul (WI),2003-2015,92,40,11,362,86*,12.48,472,76.69,0,1,3
762,Shahriar Hossain (BAN),1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4
763,DG Brownlie (NZ),2012-2017,16,15,1,361,63,25.78,486,74.27,0,1,0
764,Hazratullah Zazai (AFG),2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1
765,WK McCallan (IRE),2006-2009,39,28,10,361,50*,20.05,419,86.15,0,1,5
766,RC Irani (ENG),1996-2003,31,30,5,360,53,14.40,549,65.57,0,1,7
767,Mushfiqur Rahman (BAN),2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4
768,BJ Patel (KENYA),2001-2006,31,25,3,360,44,16.36,736,48.91,0,0,4
769,Ahmed Raza (UAE),2014-2022,44,34,5,359,50,12.37,605,59.33,0,1,6
770,MP O'Dowd (NED),2019-2022,11,11,2,359,86*,39.88,501,71.65,0,3,1
771,Hasan Ali (PAK),2016-2022,58,34,10,355,59,14.79,295,120.33,0,2,3
772,AD Brown (ENG),1996-2001,16,16,0,354,118,22.12,427,82.90,1,1,2
773,ADS Fletcher (WI),2008-2016,25,25,0,354,54,14.16,549,64.48,0,2,3
774,Shoaib Khan (OMA),2021-2022,12,12,1,354,105*,32.18,413,85.71,1,3,1
775,Nasir Jamal (AFG),2014-2018,16,14,1,352,53,27.07,537,65.54,0,3,1
776,RP Burl (ZIM),2017-2022,24,21,3,351,59,19.50,492,71.34,0,2,1
777,W Madhevere (ZIM),2020-2022,14,13,0,351,56,27.00,409,85.81,0,3,0
778,Wajahatullah Wasti (PAK),1999-2000,15,15,0,349,84,23.26,713,48.94,0,1,1
779,Zahid Fazal (PAK),1990-1994,19,18,3,348,98*,23.20,584,59.58,0,2,0
780,Afif Hossain (BAN),2020-2022,13,12,4,346,93*,43.25,380,91.05,0,2,0
781,RDB Croft (ENG),1996-2001,50,36,12,345,32,14.37,519,66.47,0,0,4
782,Ashfaq Ahmed (UAE),2018-2019,16,16,0,344,92,21.50,387,88.88,0,2,1
783,DT Tiripano (ZIM),2014-2021,36,27,8,344,55*,18.10,529,65.02,0,1,2
784,GP Wickramasinghe (SL),1990-2002,134,64,24,344,32,8.60,543,63.35,0,0,12
785,DNT Zoysa (SL),1997-2007,95,47,21,343,47*,13.19,358,95.81,0,0,5
786,SM Sharif (SCOT),2011-2022,52,36,16,342,34,17.10,452,75.66,0,0,3
787,HH Kanitkar (INDIA),1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2
788,M Vijay (INDIA),2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0
789,BE Congdon (NZ),1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0
790,CM Old (ENG),1973-1981,32,25,7,338,51*,18.77,401,84.28,0,1,4
791,MG Burgess (NZ),1973-1981,26,20,0,336,47,16.80,515,65.24,0,0,1
792,NM Hauritz (AUS),2002-2011,58,32,17,336,53*,22.40,349,96.27,0,1,0
793,SD Outerbridge (BMUDA),2006-2009,23,23,0,336,56,14.60,612,54.90,0,1,4
794,Tapash Baisya (BAN),2002-2007,56,41,13,336,35*,12.00,576,58.33,0,0,4
795,SS Pathirana (SL),2015-2017,18,14,1,332,56,25.53,383,86.68,0,1,0
796,KA Edwards (WI),2011-2014,16,16,2,331,123*,23.64,494,67.00,1,0,3
797,Manjural Islam Rana (BAN),2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1
798,S Mukuddem (BMUDA),2006-2007,20,18,4,331,57,23.64,650,50.92,0,1,2
799,Adnan Mufti (UAE),2017-2018,18,16,4,330,57*,27.50,409,80.68,0,1,0
800,Asif Iqbal (PAK),1973-1979,10,8,2,330,62,55.00,466,70.81,0,5,0
801,Suraj Kumar (OMA),2019-2022,20,16,3,328,62*,25.23,430,76.27,0,2,2
802,ZE Surkari (CAN),2008-2011,23,22,3,328,49,17.26,656,50.00,0,0,1
803,DJ Capel (ENG),1987-1990,23,19,2,327,50*,19.23,479,68.26,0,1,0
804,MH Yardy (ENG),2006-2011,28,24,8,326,60*,20.37,472,69.06,0,2,1
805,ML Nkala (ZIM),1998-2006,50,35,5,324,47,10.80,526,61.59,0,0,5
806,Saeed Ajmal (PAK),2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11
807,RP Snell (SA),1991-1996,42,28,8,322,63,16.10,330,97.57,0,2,1
808,KJJ van Noortwijk (NED),1996-2003,9,9,2,322,134*,46.00,428,75.23,1,1,1
809,Anwar Ali (PAK),2013-2016,22,16,5,321,43*,29.18,367,87.46,0,0,0
810,CA Walsh (WI),1985-2000,205,79,33,321,30,6.97,451,71.17,0,0,11
811,RB McCosker (AUS),1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2
812,DR Brown (ENG/SCOT),1997-2007,25,24,6,319,50*,17.72,481,66.32,0,1,3
813,HP Rinke (ZIM),2006-2006,18,18,0,317,72,17.61,378,83.86,0,3,2
814,P Khadka (NEPAL),2018-2020,10,10,1,315,115,35.00,398,79.14,1,1,0
815,K Rabada (SA),2015-2022,85,35,15,315,31*,15.75,381,82.67,0,0,2
816,Faisal Iqbal (PAK),2000-2006,18,16,2,314,100*,22.42,519,60.50,1,0,3
817,NAM McLean (WI),1996-2003,45,34,8,314,50*,12.07,383,81.98,0,1,7
818,Mohammad Sami (PAK),2001-2015,87,46,19,314,46,11.62,490,64.08,0,0,5
819,B Wood (ENG),1972-1982,13,12,2,314,78*,31.40,647,48.53,0,2,1
820,JS Malhotra (USA),2019-2021,11,11,3,313,173*,39.12,321,97.50,1,0,1
821,VV Morea (PNG),2014-2018,13,13,1,313,65*,26.08,460,68.04,0,3,1
822,RC Fredericks (WI),1973-1977,12,12,0,311,105,25.91,440,70.68,1,1,0
823,BR Hartland (NZ),1992-1994,16,16,1,311,68*,20.73,623,49.91,0,2,1
824,N Chopra (INDIA),1998-2000,39,26,6,310,61,15.50,498,62.24,0,1,1
825,BC Hollioake (ENG),1997-2002,20,17,2,309,63,20.60,381,81.10,0,2,3
826,Nafees Iqbal (BAN),2003-2005,16,16,0,309,58,19.31,568,54.40,0,2,1
827,KAJ Roach (WI),2008-2022,95,60,36,308,34,12.83,594,51.85,0,0,9
828,Ihsanullah (AFG),2017-2018,16,16,2,307,57*,21.92,440,69.77,0,3,2
829,DM Benkenstein (SA),1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3
830,TK Musakanda (ZIM),2016-2018,15,15,1,304,60,21.71,382,79.58,0,1,1
831,TK Curran (ENG),2017-2021,28,17,9,303,47*,37.87,321,94.39,0,0,2
832,Naseem Khushi (OMA),2020-2022,25,20,2,303,42,16.83,270,112.22,0,0,2
833,LE Bosman (Afr/SA),2006-2010,14,12,0,301,88,25.08,305,98.68,0,2,2
834,Aarif Sheikh (NEPAL),2018-2022,18,16,2,300,59*,21.42,562,53.38,0,1,2
835,CMW Read (ENG),2000-2006,36,24,7,300,30*,17.64,410,73.17,0,0,4
836,JP Kotze (NAM),2019-2020,8,8,0,299,136,37.37,337,88.72,1,0,0
837,WKM Benjamin (WI),1986-1995,85,52,12,298,31,7.45,406,73.39,0,0,10
838,GS Ballance (ENG),2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1
839,PA Nixon (ENG),2007-2007,19,18,4,297,49,21.21,347,85.59,0,0,2
840,Zahoor Elahi (PAK),1996-1997,14,14,1,297,86,22.84,507,58.57,0,3,3
841,DN Crookes (SA),1994-2000,32,23,3,296,54,14.80,412,71.84,0,1,3
842,AJ Pycroft (ZIM),1983-1992,20,19,2,295,61,17.35,560,52.67,0,2,2
843,DR Tuffey (NZ),2000-2010,94,52,21,295,36,9.51,372,79.30,0,0,7
844,DL Murray (WI),1973-1980,26,17,5,294,61*,24.50,468,62.82,0,2,0
845,SE Bond (NZ),2002-2010,82,40,22,292,31*,16.22,384,76.04,0,0,2
846,K Doriga (PNG),2017-2021,22,21,2,292,89*,15.36,519,56.26,0,1,4
847,P Kumar (INDIA),2007-2012,68,33,12,292,54*,13.90,331,88.21,0,1,2
848,Tanwir Afzal (HKG),2014-2018,20,19,3,292,73,18.25,255,114.50,0,1,3
849,DS Airee (NEPAL),2018-2022,16,16,1,291,105,19.40,421,69.12,1,0,5
850,A Dananjaya (SL),2012-2021,39,30,6,291,50*,12.12,417,69.78,0,1,3
851,RN Lewis (WI),1997-2009,28,21,5,291,49,18.18,367,79.29,0,0,1
852,DA Reeve (ENG),1991-1996,29,21,9,291,35,24.25,389,74.80,0,0,0
853,CS Pandit (INDIA),1986-1992,36,23,9,290,33*,20.71,400,72.50,0,0,2
854,Sanuar Hossain (BAN),1998-2003,27,27,2,290,52,11.60,597,48.57,0,1,2
855,SMSM Senanayake (SL),2012-2015,49,33,11,290,42,13.18,311,93.24,0,0,6
856,JN Gillespie (AUS),1996-2005,97,39,16,289,44*,12.56,367,78.74,0,0,8
857,IDR Bradshaw (WI),2004-2007,62,34,11,287,37,12.47,480,59.79,0,0,6
858,KM Curran (ZIM),1983-1987,11,11,0,287,73,26.09,430,66.74,0,2,1
859,LG Howell (NZ),1998-1998,12,12,0,287,68,23.91,388,73.96,0,4,1
860,PM Seelaar (NED),2006-2022,53,35,10,287,43,11.48,519,55.29,0,0,9
861,MK Tiwary (INDIA),2008-2015,12,12,1,287,104*,26.09,403,71.21,1,1,0
862,PJ Cummins (AUS),2011-2020,69,44,15,285,36,9.82,387,73.64,0,0,7
863,D Lloyd (ENG),1973-1980,8,8,1,285,116*,40.71,526,54.18,1,0,0
864,VJ Marks (ENG),1980-1988,34,24,3,285,44,13.57,434,65.66,0,0,0
865,JAR Blain (SCOT),1999-2009,33,25,6,284,41,14.94,517,54.93,0,0,3
866,NO Miller (WI),2008-2018,50,27,13,284,51,20.28,359,79.10,0,1,4
867,LP van Troost (NED),2002-2007,23,20,2,284,40,15.77,456,62.28,0,0,2
868,ZE Green (NAM),2019-2021,10,10,0,282,62,28.20,362,77.90,0,1,0
869,MA Holding (WI),1976-1987,102,42,11,282,64,9.09,377,74.80,0,2,9
870,MA Jones (SCOT),2018-2019,8,8,0,281,87,35.12,401,70.07,0,3,0
871,S Randiv (SL),2009-2016,31,18,2,280,56,17.50,382,73.29,0,1,2
872,CL King (WI),1976-1980,18,14,2,280,86,23.33,267,104.86,0,1,2
873,RS Sodhi (INDIA),2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0
874,KC Brathwaite (WI),2016-2017,10,10,0,278,78,27.80,483,57.55,0,1,0
875,JN Frylinck (NAM),2019-2022,15,14,4,278,60,27.80,303,91.74,0,2,1
876,JE Taylor (WI),2003-2017,90,42,9,278,43*,8.42,323,86.06,0,0,7
877,AV Vadher (KENYA),1997-1999,18,16,6,278,73*,27.80,512,54.29,0,2,1
878,LM Jongwe (ZIM),2014-2021,28,24,4,276,46,13.80,335,82.38,0,0,3
879,Mehrab Hossain jnr (BAN),2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1
880,JM Anderson (ENG),2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10
881,DT Christian (AUS),2012-2021,20,18,5,273,39,21.00,307,88.92,0,0,0
882,GH Worker (NZ),2015-2018,10,10,2,272,58,34.00,379,71.76,0,3,0
883,JW Hastings (AUS),2010-2017,29,21,11,271,51,27.10,273,99.26,0,1,1
884,Umar Amin (PAK),2010-2018,16,16,1,271,59,18.06,392,69.13,0,1,0
885,AM Bacher (SA),1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0
886,Jahurul Islam (BAN),2010-2013,14,13,1,270,53,22.50,371,72.77,0,1,2
887,KBJ Azad (INDIA),1980-1986,25,21,2,269,39*,14.15,400,67.25,0,0,3
888,AD Gaekwad (INDIA),1975-1987,15,14,1,269,78*,20.69,509,52.84,0,1,2
889,AW Greig (ENG),1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1
890,C Karunaratne (SL),2021-2022,13,12,5,269,44*,38.42,319,84.32,0,0,0
891,M Morkel (Afr/SA),2007-2018,117,47,18,268,32*,9.24,354,75.70,0,0,9
892,Aaqib Javed (PAK),1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7
893,D Wiese (NAM/SA),2015-2022,11,11,2,267,67,29.66,278,96.04,0,1,1
894,SA Yadav (INDIA),2021-2022,7,7,2,267,64,53.40,259,103.08,0,2,0
895,Shamsur Rahman (BAN),2013-2014,10,10,0,266,96,26.60,350,76.00,0,2,2
896,Afsar Zazai (AFG),2014-2017,17,16,1,264,60,17.60,488,54.09,0,2,3
897,MH Denness (ENG),1973-1975,12,11,2,264,66,29.33,417,63.30,0,1,1
898,S Jyoti (CAN),2006-2010,14,13,1,264,117,22.00,442,59.72,1,0,3
899,SP Patil (UAE),2014-2015,13,12,2,263,99*,26.30,404,65.09,0,2,1
900,HJW Gardiner (SCOT),2013-2015,11,11,0,262,96,23.81,396,66.16,0,2,1
901,Naved Latif (PAK),2001-2003,11,11,0,262,113,23.81,417,62.82,1,0,1
902,Aizaz Khan (HKG),2014-2018,19,15,2,260,44,20.00,374,69.51,0,0,1
903,KJ Wadsworth (NZ),1973-1976,13,10,1,258,104,28.66,334,77.24,1,0,1
904,ML Udawatte (SL),2008-2008,9,9,0,257,73,28.55,383,67.10,0,2,1
905,SS Dighe (INDIA),2000-2001,23,17,6,256,94*,23.27,421,60.80,0,1,1
906,R Edwards (AUS),1972-1975,9,8,1,255,80*,36.42,349,73.06,0,3,1
907,AD Poynter (IRE),2008-2014,19,16,3,255,78,19.61,412,61.89,0,2,3
908,S Ranatunga (SL),1994-1996,13,11,0,253,70,23.00,526,48.09,0,2,0
909,IP Butchart (ZIM),1983-1995,20,16,2,252,54,18.00,395,63.79,0,1,2
910,NM Coulter-Nile (AUS),2013-2019,32,21,6,252,92,16.80,262,96.18,0,1,2
911,J Edness (BMUDA),2007-2008,11,11,2,252,72,28.00,403,62.53,0,1,1
912,JFM Morrison (NZ),1975-1983,18,15,3,252,55,21.00,472,53.38,0,1,0
913,HA Varaiya (KENYA),2006-2014,63,38,17,252,34,12.00,489,51.53,0,0,3
914,JJ Atkinson (HKG),2008-2017,9,9,0,250,59,27.77,398,62.81,0,1,0
915,JAH Marshall (NZ),2005-2008,10,10,0,250,161,25.00,313,79.87,1,1,2
916,CT Radley (ENG),1978-1978,4,4,1,250,117*,83.33,367,68.11,1,1,0
917,AR Caddick (ENG),1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6
918,AS Joseph (WI),2016-2022,43,25,10,249,29*,16.60,387,64.34,0,0,3
919,GF Labrooy (SL),1986-1992,44,36,7,249,33,8.58,350,71.14,0,0,6
920,B Bhandari (NEPAL),2019-2022,15,12,0,248,59,20.66,394,62.94,0,1,0
921,JD Campbell (WI),2019-2019,6,5,0,248,179,49.60,214,115.88,1,0,0
922,JM Parker (NZ),1974-1981,24,20,0,248,66,12.40,403,61.53,0,1,1
923,RB Reid (NZ),1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0
924,RH Vance (NZ),1988-1989,8,8,0,248,96,31.00,481,51.55,0,1,0
925,MA Suji (KENYA),1996-2006,64,52,22,247,16*,8.23,526,46.95,0,0,9
926,A Turner (AUS),1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
927,AD Mascarenhas (ENG),2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2
928,SM Davies (ENG),2009-2011,8,8,0,244,87,30.50,231,105.62,0,1,1
929,IG Holland (USA),2019-2020,8,8,0,244,75,30.50,319,76.48,0,2,1
930,RAS Lakmal (SL),2009-2021,86,48,22,244,26,9.38,404,60.39,0,0,9
931,Qaiser Ali (CAN),2006-2008,17,17,1,244,70,15.25,383,63.70,0,2,3
932,K Bhurtel (NEPAL),2021-2022,12,12,0,243,84,20.25,306,79.41,0,2,2
933,BP Patel (INDIA),1974-1979,10,9,1,243,82,30.37,399,60.90,0,1,0
934,PR Downton (ENG),1977-1988,28,20,5,242,44*,16.13,358,67.59,0,0,2
935,Hasan Raza (PAK),1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1
936,MJ Di Venuto (AUS),1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0
937,GD Drummond (SCOT),2007-2013,30,20,7,240,35*,18.46,262,91.60,0,0,2
